"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt0120695","video","From Dusk Till Dawn 3: The Hangman's Daughter","From Dusk Till Dawn 3: The Hangman's Daughter",0,1999,"\N","94","Horror,Thriller,Western","thanks",4.8,12375
"tt0120755","movie","Mission: Impossible II","Mission: Impossible II",0,2000,"\N","123","Action,Adventure,Thriller","music department",6.1,370077
"tt0120755","movie","Mission: Impossible II","Mission: Impossible II",0,2000,"\N","123","Action,Adventure,Thriller","composer",6.1,370077
"tt0120794","movie","The Prince of Egypt","The Prince of Egypt",0,1998,"\N","99","Adventure,Animation,Drama","composer",7.2,142064
"tt0120794","movie","The Prince of Egypt","The Prince of Egypt",0,1998,"\N","99","Adventure,Animation,Drama","soundtrack",7.2,142064
"tt0120863","movie","The Thin Red Line","The Thin Red Line",0,1998,"\N","170","Drama,History,War","composer",7.6,196351
"tt0126029","movie","Shrek","Shrek",0,2001,"\N","90","Adventure,Animation,Comedy","thanks",7.9,715512
"tt0138749","movie","The Road to El Dorado","The Road to El Dorado",0,2000,"\N","89","Adventure,Animation,Comedy","composer",6.9,104844
"tt0141109","movie","Jack Frost","Jack Frost",0,1998,"\N","101","Comedy,Drama,Family","soundtrack",5.4,38983
"tt0163090","movie","Man kann ja nie wissen","Man kann ja nie wissen",0,1987,"\N","80","\N","actor",6.2,19
"tt0163579","movie","Chill Factor","Chill Factor",0,1999,"\N","102","Action,Adventure,Comedy","composer",5.2,10011
"tt0165982","movie","Sinbad: Legend of the Seven Seas","Sinbad: Legend of the Seven Seas",0,2003,"\N","88","Adventure,Animation,Comedy","thanks",6.7,58211
"tt0166813","movie","Spirit: Stallion of the Cimarron","Spirit: Stallion of the Cimarron",0,2002,"\N","83","Adventure,Animation,Drama","composer",7.2,82970
"tt0166813","movie","Spirit: Stallion of the Cimarron","Spirit: Stallion of the Cimarron",0,2002,"\N","83","Adventure,Animation,Drama","soundtrack",7.2,82970
"tt0167456","movie","Thunderbirds","Thunderbirds",0,2004,"\N","95","Action,Adventure,Comedy","composer",4.3,14333
"tt0167456","movie","Thunderbirds","Thunderbirds",0,2004,"\N","95","Action,Adventure,Comedy","soundtrack",4.3,14333
"tt0168228","short","To the Moon, Alice","To the Moon, Alice",0,1990,"\N","33","Drama,Short","composer",6.8,58
"tt0172495","movie","Gladiator","Gladiator",0,2000,"\N","155","Action,Adventure,Drama","music department",8.5,1574856
"tt0172495","movie","Gladiator","Gladiator",0,2000,"\N","155","Action,Adventure,Drama","composer",8.5,1574856
"tt0172495","movie","Gladiator","Gladiator",0,2000,"\N","155","Action,Adventure,Drama","soundtrack",8.5,1574856
"tt0174852","movie","The Last Days","The Last Days",0,1998,"\N","87","Documentary,War","composer",7.9,5497
"tt0177888","movie","King of the Jungle","King of the Jungle",0,2000,"\N","99","Crime,Drama,Thriller","producer",5.9,588
"tt0188873","video","The Making of 'Crimson Tide'","The Making of 'Crimson Tide'",0,1995,"\N","20","Documentary,Short","self",6.7,47
"tt0188924","videoGame","Muppets Treasure Island","Muppet Treasure Island",0,1996,"\N","\N","Adventure,Comedy,Family","composer",7.1,838
"tt0190374","movie","Dungeons & Dragons","Dungeons & Dragons",0,2000,"\N","107","Action,Adventure,Fantasy","thanks",3.6,35781
"tt0195603","tvMovie","Comeback","Comeback",0,1989,"\N","98","Drama,Mystery","composer",6.5,27
"tt0200027","movie","Riding in Cars with Boys","Riding in Cars with Boys",0,2001,"\N","132","Biography,Comedy,Drama","composer",6.5,30199
"tt0210409","tvSeries","El candidato","El candidato",0,1999,"2000","\N","Drama","composer",5.6,16
"tt0211443","movie","Jason X","Jason X",0,2001,"\N","92","Action,Horror,Sci-Fi","music department",4.4,60445
"tt0212985","movie","Hannibal","Hannibal",0,2001,"\N","131","Crime,Drama,Thriller","composer",6.8,287637
"tt0212985","movie","Hannibal","Hannibal",0,2001,"\N","131","Crime,Drama,Thriller","soundtrack",6.8,287637
"tt0213149","movie","Pearl Harbor","Pearl Harbor",0,2001,"\N","183","Action,Drama,History","composer",6.2,346665
"tt0216487","tvMovie","Invincible","Invincible",0,2001,"\N","90","Action,Fantasy,Thriller","composer",3.3,1595
"tt0218182","movie","An Everlasting Piece","An Everlasting Piece",0,2000,"\N","103","Comedy","composer",6.2,1730
"tt0227538","movie","Spy Kids","Spy Kids",0,2001,"\N","88","Action,Adventure,Comedy","thanks",5.6,124885
"tt0240286","tvSeries","Die Motorrad-Cops: Hart am Limit","Die Motorrad-Cops: Hart am Limit",0,2000,"2001","45","Action,Crime","composer",5.5,80
"tt0242925","short","The Wind","A szél",0,1986,"\N","7","Animation,Short","music department",7.1,32
"tt0242925","short","The Wind","A szél",0,1986,"\N","7","Animation,Short","composer",7.1,32
"tt0245171","movie","Invincible","Invincible",0,2001,"\N","133","Drama,War","composer",6.4,4489
"tt0245234","tvMovie","The Lion King: A Musical Journey with Elton John","The Lion King: A Musical Journey with Elton John",0,1994,"\N","\N","Documentary,Music","self",7.8,69
"tt0250756","video","Styx","Styx",0,2001,"\N","89","Action,Crime,Thriller","thanks",4.7,489
"tt0261470","tvSeries","Expeditie Robinson","Expeditie Robinson",0,2000,"\N","\N","Adventure,Game-Show,Reality-TV","soundtrack",7,499
"tt0264250","tvSeries","Going for Gold","Going for Gold",0,1987,"1996","25","Game-Show","music department",7,70
"tt0264250","tvSeries","Going for Gold","Going for Gold",0,1987,"1996","25","Game-Show","composer",7,70
"tt0265086","movie","Black Hawk Down","Black Hawk Down",0,2001,"\N","144","Action,Drama,History","music department",7.7,415632
"tt0265086","movie","Black Hawk Down","Black Hawk Down",0,2001,"\N","144","Action,Drama,History","composer",7.7,415632
"tt0268875","tvSpecial","The 67th Annual Academy Awards","The 67th Annual Academy Awards",0,1995,"\N","215","Family","self",6.1,523
"tt0272747","movie","The Nature of the Beast","The Nature of the Beast",0,1988,"\N","95","Drama","composer",6.3,71
"tt0274166","movie","Johnny English","Johnny English",0,2003,"\N","89","Action,Adventure,Comedy","music department",6.2,170909
"tt0274166","movie","Johnny English","Johnny English",0,2003,"\N","89","Action,Adventure,Comedy","soundtrack",6.2,170909
"tt0276856","videoGame","Chicken Run","Chicken Run",0,2000,"\N","\N","Action,Comedy,Family","thanks",6.9,237
"tt0277027","movie","I Am Sam","I Am Sam",0,2001,"\N","132","Drama","music department",7.6,153828
"tt0285019","video","Disney Sing-Along-Songs: Circle of Life","Disney Sing-Along-Songs: Circle of Life",0,1994,"\N","26","Family,Music,Musical","soundtrack",6.6,123
"tt0285335","tvSeries","The Amazing Race","The Amazing Race",0,2001,"\N","60","Adventure,Family,Reality-TV","soundtrack",7.8,15237
"tt0298130","movie","The Ring","The Ring",0,2002,"\N","115","Horror,Mystery","composer",7.1,368347
"tt0298148","movie","Shrek 2","Shrek 2",0,2004,"\N","93","Adventure,Animation,Comedy","thanks",7.3,492617
"tt0300195","video","Mickey's Magical Christmas: Snowed in at the House of Mouse","Mickey's Magical Christmas: Snowed in at the House of Mouse",0,2001,"\N","65","Adventure,Animation,Comedy","soundtrack",6.6,3724
"tt0301515","tvMovie","Der Klang der Bilder","Der Klang der Bilder",0,1995,"\N","100","Documentary","self",5.4,47
"tt0302617","short","Great Bear Rainforest","Great Bear Rainforest",0,2019,"\N","41","Documentary,Short","music department",8,120
"tt0307453","movie","Shark Tale","Shark Tale",0,2004,"\N","90","Adventure,Animation,Comedy","composer",6,194883
"tt0312004","movie","Wallace & Gromit: The Curse of the Were-Rabbit","The Curse of the Were-Rabbit",0,2005,"\N","85","Adventure,Animation,Comedy","music department",7.5,143556
"tt0314353","movie","Tears of the Sun","Tears of the Sun",0,2003,"\N","121","Action,Drama,Thriller","composer",6.6,128434
"tt0314353","movie","Tears of the Sun","Tears of the Sun",0,2003,"\N","121","Action,Drama,Thriller","soundtrack",6.6,128434
