"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt8425058","tvMovie","Brexit","Brexit: The Uncivil War",0,2019,"\N","92","Biography,Drama,History","composer",7,17533
"tt8736278","tvSeries","1994","1994",0,2019,"2019","\N","Drama","soundtrack",7.5,879
"tt9068374","tvEpisode","Venom","Venom",0,2018,"\N","\N","Talk-Show","soundtrack",7.5,102
"tt9098854","tvEpisode","Venom","Venom",0,2018,"\N","\N","Comedy,Talk-Show","soundtrack",5.9,17
"tt9098872","movie","The Rescue","The Rescue",0,2021,"\N","107","Action,Documentary,Mystery","composer",8.4,19431
"tt9098872","movie","The Rescue","The Rescue",0,2021,"\N","107","Action,Documentary,Mystery","music department",8.4,19431
"tt9098872","movie","The Rescue","The Rescue",0,2021,"\N","107","Action,Documentary,Mystery","soundtrack",8.4,19431
"tt9125448","tvEpisode","Venom","Venom",0,2018,"\N","\N","Comedy","soundtrack",7.5,21
"tt9314916","tvEpisode","Brexit","Brexit",0,2019,"\N","29","Comedy,News,Talk-Show","composer",8.4,369
"tt9362722","movie","Spider-Man: Across the Spider-Verse","Spider-Man: Across the Spider-Verse",0,2023,"\N","140","Action,Adventure,Animation","composer",8.7,294334
"tt9379642","tvEpisode","Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse",0,2018,"\N","\N","Comedy,Talk-Show","composer",7.5,21
"tt9407298","tvEpisode","Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse",0,2018,"\N","\N","Talk-Show","composer",7.1,14
"tt9412098","movie","Fyre","Fyre",0,2019,"\N","97","Crime,Documentary,Music","soundtrack",7.2,50988
"tt9800670","movie","Lovers","Amants",0,2020,"\N","102","Drama,Thriller","music department",5.5,905
