cname,tname,year,role,,,,
Danny Elfman,Pee-wee's Playhouse,1986,composer,,,,
Danny Elfman,Amazing Stories,1986,composer,,,,
Danny Elfman,Back to School,1986,composer,,,,
Danny Elfman,Alfred Hitchcock Presents,1986,composer,,,,
Danny Elfman,Pee-wee's Big Adventure,1985,composer,,,,
Danny Elfman,Forbidden Zone,1980,composer,,,,
Danny Elfman,The Nightmare Before Christmas in Concert at the Hollywood Bowl,2018,actor,,,,
Danny Elfman,DemiUrge Emesis,2010,actor,,,,
Danny Elfman,Proud Iza,2008,actor,,,,
Danny Elfman,Corpse Bride,2005,actor,,,,
Danny Elfman,Charlie and the Chocolate Factory,2005,actor,,,,
Danny Elfman,The Gift,2000,actor,,,,
Danny Elfman,Oingo Boingo: Insanity,1994,actor,,,,
Danny Elfman,The Nightmare Before Christmas,1993,actor,,,,
Danny Elfman,Oingo Boingo: Out of Control,1990,actor,,,,
Danny Elfman,Oingo Boingo: Skeletons in the Closet,1989,actor,,,,
Danny Elfman,Oingo Boingo: Dead Man's Party,1986,actor,,,,
Danny Elfman,Oingo Boingo: Just Another Day,1986,actor,,,,
Danny Elfman,Oingo Boingo: Stay,1986,actor,,,,
Danny Elfman,Back to School,1986,actor,,,,
Danny Elfman,Oingo Boingo: Weird Science,1985,actor,,,,
Danny Elfman,Danny Elfman: Gratitude,1984,actor,,,,
Danny Elfman,Oingo Boingo: Nothing Bad Ever Happens,1983,actor,,,,
Danny Elfman,Oingo Boingo: Private Life,1982,actor,,,,
Danny Elfman,Longshot,1981,actor,,,,
Danny Elfman,Oingo Boingo: Little Girls,1981,actor,,,,
Danny Elfman,Forbidden Zone,1980,actor,,,,
Danny Elfman,I Never Promised You a Rose Garden,1977,actor,,,,
Danny Elfman,Hot Tomorrows,1977,actor,,,,
Danny Elfman,Ken & Barbie,N/A,soundtrack,,,,
Danny Elfman,The Flash,N/A,soundtrack,,,,
Danny Elfman,CBS News Sunday Morning with Jane Pauley,2023,soundtrack,,,,
Danny Elfman,Diminishing Returns,N/A,soundtrack,,,,
Danny Elfman,Wednesday,2022,soundtrack,,,,
Danny Elfman,Dancing with the Stars,2013,soundtrack,,,,
Danny Elfman,Solar Opposites,2022,soundtrack,,,,
Danny Elfman,Glass Onion,2022,soundtrack,,,,
Danny Elfman,Harley Quinn,2022,soundtrack,,,,
Danny Elfman,Pretty Little Liars: Original Sin,2022,soundtrack,,,,
Danny Elfman,DC League of Super-Pets,2022,soundtrack,,,,
Danny Elfman,The Death of the Cat in the Hat,2022,soundtrack,,,,
Danny Elfman,Doctor Strange in the Multiverse of Madness,2022,soundtrack,,,,
